,City,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ushuaia,-54.8,-68.3,4.0,69,40,3.6,AR,1596220941
1,hilo,19.73,-155.09,26.0,65,40,2.6,US,1596220924
2,tilichiki,60.47,166.1,10.27,93,45,2.61,RU,1596221058
3,joyabaj,14.99,-90.81,21.11,59,6,3.13,GT,1596221058
4,punta arenas,-53.15,-70.92,3.0,82,75,7.2,CL,1596221058
5,bereda,43.27,-7.54,24.44,64,100,4.47,ES,1596221058
6,severo-kurilsk,50.68,156.12,10.34,86,13,7.29,RU,1596221059
7,gamboma,-1.88,15.86,29.03,46,62,1.51,CG,1596221059
8,hermanus,-34.42,19.23,11.67,92,0,0.65,ZA,1596221059
9,broome,42.25,-75.83,28.33,44,40,4.1,US,1596221059
10,olinda,-8.01,-34.86,28.0,65,40,7.2,BR,1596221059
11,at-bashi,41.17,75.81,15.26,67,100,1.31,KG,1596221060
12,hithadhoo,-0.6,73.08,28.36,75,100,5.47,MV,1596221060
13,upernavik,72.79,-56.15,7.97,59,83,5.04,GL,1596221060
14,sorland,67.67,12.69,13.0,87,90,1.0,NO,1596221060
15,mataura,-46.19,168.86,8.63,91,100,1.23,NZ,1596221061
16,uyskoye,54.38,60.0,15.71,91,83,3.49,RU,1596221061
17,jamestown,42.1,-79.24,27.78,53,75,4.1,US,1596221061
18,fukuma,33.77,130.47,26.67,94,100,1.0,JP,1596221062
19,bluff,-46.6,168.33,10.07,89,100,3.26,NZ,1596220781
20,pevek,69.7,170.31,1.96,96,94,1.44,RU,1596221062
21,albany,42.6,-73.97,30.56,39,13,1.68,US,1596221057
22,alta floresta,-9.88,-56.09,36.74,16,1,2.74,BR,1596220999
23,anadyr,64.75,177.48,11.0,87,40,4.0,RU,1596221062
24,bredasdorp,-34.53,20.04,12.0,87,0,1.5,ZA,1596221063
25,codrington,-38.27,141.97,9.35,75,100,6.63,AU,1596221063
26,busselton,-33.65,115.33,9.44,83,80,1.29,AU,1596221022
27,half moon bay,37.46,-122.43,21.67,87,90,4.1,US,1596220997
28,husavik,66.04,-17.34,11.0,81,90,4.1,IS,1596221064
29,atuona,-9.8,-139.03,26.59,64,21,9.7,PF,1596220806
30,maloy,61.94,5.11,20.0,72,92,2.6,NO,1596221064
31,muros,42.78,-9.06,18.89,88,54,4.47,ES,1596221064
32,narsaq,60.92,-46.05,13.0,58,75,3.6,GL,1596221064
33,ilulissat,69.22,-51.1,11.0,53,75,7.2,GL,1596221064
34,port alfred,-33.59,26.89,14.75,72,0,0.84,ZA,1596221065
35,puerto ayora,-0.74,-90.35,27.0,57,40,4.6,EC,1596221065
36,champerico,14.3,-91.92,33.0,63,20,3.1,GT,1596221065
37,kindu,-2.95,25.95,26.66,47,0,1.21,CD,1596221066
38,iqaluit,63.75,-68.51,14.0,87,75,1.0,CA,1596221066
39,ribeira grande,38.52,-28.7,24.0,60,40,4.6,PT,1596221066
40,challans,46.84,-1.87,21.11,78,0,4.05,FR,1596221067
41,alofi,-19.06,-169.92,15.0,100,5,7.2,NU,1596221067
42,castro,-24.79,-50.01,15.75,74,67,3.0,BR,1596221067
43,dickinson,29.46,-95.05,34.44,59,75,5.1,US,1596220966
44,dawson creek,55.77,-120.24,22.0,68,1,1.5,CA,1596220902
45,souillac,-20.52,57.52,22.0,88,75,2.6,MU,1596221068
46,hay river,60.82,-115.8,25.0,47,20,4.1,CA,1596220913
47,taoudenni,22.68,-3.98,41.28,9,0,4.78,ML,1596221068
48,khatanga,71.97,102.5,15.6,59,0,4.79,RU,1596221068
49,olafsvik,64.89,-23.71,10.04,90,100,8.86,IS,1596221069
50,vaini,-21.2,-175.2,19.0,93,40,4.1,TO,1596221069
51,laramie,41.31,-105.59,24.44,25,1,3.6,US,1596221069
52,christchurch,-43.53,172.63,10.56,87,100,4.6,NZ,1596220807
53,thompson,55.74,-97.86,19.0,72,75,4.6,CA,1596221070
54,nikolskoye,59.7,30.79,15.0,67,100,5.0,RU,1596221070
55,rikitea,-23.12,-134.97,23.33,84,93,4.4,PF,1596221070
56,perth,-31.93,115.83,11.11,93,0,3.1,AU,1596221070
57,georgetown,5.41,100.34,26.0,88,20,1.0,MY,1596221070
58,lanycsok,46.01,18.63,30.0,45,0,2.1,HU,1596221071
59,new norfolk,-42.78,147.06,8.89,82,100,1.53,AU,1596221071
60,port elizabeth,-33.92,25.57,11.67,86,0,2.14,ZA,1596221071
61,cabedelo,-6.98,-34.83,26.0,74,75,7.7,BR,1596221071
62,bemidji,47.47,-94.88,27.78,50,1,2.1,US,1596220861
63,guerrero negro,27.98,-114.06,30.87,41,11,1.64,MX,1596221072
64,ixtapa,20.7,-105.2,31.67,70,20,2.6,MX,1596221072
65,kruisfontein,-34.0,24.73,11.67,86,0,2.09,ZA,1596221072
66,porangatu,-13.44,-49.15,32.41,15,0,4.49,BR,1596221072
67,vila franca do campo,37.72,-25.43,23.0,60,40,4.6,PT,1596221072
68,mar del plata,-38.0,-57.56,16.0,51,0,3.1,AR,1596221015
69,la ronge,55.1,-105.28,24.0,44,20,4.1,CA,1596221073
70,tuatapere,-46.13,167.68,9.98,90,100,1.02,NZ,1596221073
71,yulara,-25.24,130.99,7.0,30,0,3.1,AU,1596221046
72,carnarvon,-24.87,113.63,17.0,77,0,6.2,AU,1596221073
73,kirillov,59.86,38.38,13.0,100,40,1.0,RU,1596221074
74,dunedin,-45.87,170.5,9.44,91,100,0.89,NZ,1596220918
75,faanui,-16.48,-151.75,26.01,81,0,4.64,PF,1596221074
76,tautira,-17.73,-149.15,25.0,78,90,5.7,PF,1596221074
77,asosa,10.07,34.53,15.9,99,100,1.42,ET,1596221074
78,longyearbyen,78.22,15.64,9.0,87,20,1.5,SJ,1596221075
79,saskylakh,71.92,114.08,12.32,75,10,1.8,RU,1596221075
80,butaritari,3.07,172.79,28.17,76,100,3.81,KI,1596221075
81,cape town,-33.93,18.42,13.33,93,0,3.1,ZA,1596221076
82,santa fe,-31.63,-60.7,17.89,42,0,3.0,AR,1596221076
83,galle,6.04,80.22,26.42,86,1,6.48,LK,1596221076
84,balkhash,46.84,74.98,24.41,36,71,2.9,KZ,1596221076
85,vao,-22.67,167.48,20.51,84,79,10.48,NC,1596221076
86,sitka,57.05,-135.33,19.0,72,75,3.6,US,1596220807
87,sal rei,16.18,-22.92,27.0,65,75,5.7,CV,1596221077
88,iwanai,42.97,140.51,18.59,90,6,1.43,JP,1596221077
89,micheweni,-4.97,39.83,24.25,77,0,6.61,TZ,1596221077
90,san cristobal,7.77,-72.22,34.0,38,40,9.8,VE,1596221077
91,sinaloa,25.0,-107.5,31.67,66,90,2.6,MX,1596220955
92,asau,46.43,26.4,18.33,85,90,0.87,RO,1596221078
93,harper,4.38,-7.72,24.35,84,100,5.17,LR,1596221078
94,trofors,65.53,13.41,16.0,82,40,0.5,NO,1596221078
